City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
332,hadibu,12.65,54.0333,298.67,84,47,3.22,YE,1731360810
333,qarqaraly,49.4058,75.4742,256.95,100,99,2.39,KZ,1731360811
334,carrigaline,51.8117,-8.3986,283.01,93,75,1.54,IE,1731360813
335,karratha,-20.7377,116.8463,299.91,49,7,4.15,AU,1731360814
336,salamanca,40.8333,-6.0,280.8,85,0,5.77,ES,1731360815
337,san lorenzo,-25.3333,-57.5333,302.67,58,20,10.29,PY,1731360586
338,medicine hat,50.0501,-110.6683,285.7,53,100,6.17,CA,1731360817
339,el alto,-4.2714,-81.2147,292.78,75,49,9.47,PE,1731360818
340,polyarnyy,69.1989,33.4478,275.3,87,100,6.92,RU,1731360819
341,la passe,45.5549,-0.8967,285.37,91,100,5.64,FR,1731360821
342,port-cartier,50.0334,-66.8654,273.66,99,100,4.43,CA,1731360822
343,kruisfontein,-34.0033,24.7314,287.45,92,2,4.19,ZA,1731360823
344,palmer,42.1584,-72.3287,290.66,53,75,5.14,US,1731360803
345,almenara,-16.1836,-40.6944,297.48,78,75,1.03,BR,1731360825
346,sandnessjoen,66.0217,12.6316,280.21,93,75,5.66,NO,1731360826
347,pitimbu,-7.4706,-34.8086,298.75,75,99,1.89,BR,1731360829
348,roosevelt,33.9668,-103.4505,294.21,22,33,4.24,US,1731360831
349,songea,-10.6833,35.65,295.23,54,27,1.94,TZ,1731360832
350,tosontsengel,48.7567,98.2839,262.65,86,54,0.23,MN,1731360833
351,port douglas,-16.4833,145.4667,299.65,74,45,3.26,AU,1731360835
352,nasiriyah,31.0521,46.261,298.22,35,13,4.5,IQ,1731360836
353,holdrege,40.4403,-99.3698,286.1,58,0,6.17,US,1731360837
354,iquique,-20.2208,-70.1431,291.85,74,7,1.61,CL,1731360617
355,huron,41.1501,-82.5499,285.81,76,53,8.46,US,1731360725
356,lihue,21.9789,-159.3672,297.45,93,100,5.14,US,1731360840
357,saranac lake,44.3295,-74.1313,282.33,80,100,3.6,US,1731360841
358,puerto leguizamo,-0.1934,-74.7819,301.69,64,86,1.69,CO,1731360843
359,la ronge,55.1001,-105.2842,274.29,80,100,6.17,CA,1731360844
360,zhanaozen,43.3,52.8,278.61,81,100,5.52,KZ,1731360845
361,arraial do cabo,-22.9661,-42.0278,297.07,69,0,6.69,BR,1731360846
362,mirador,-6.3708,-44.3631,295.68,94,100,1.83,BR,1731360847
363,mweka,-4.85,21.5667,293.93,83,21,0.52,CD,1731360848
